Date / Time,City,State,County,Zip,Country,Shape,Duration,Summary,Latitude,Longitude
1/19/2021,Cantonment,FL,Escambia County,32533,US,Teardrop,40 seconds,"At 9:25am, I was backing out of driveway, I looked up to my left, and at about 1-2 miles in the air at 10:00 (time Angle), I saw a tear",30.665519,-87.350295
1/19/2021,Hobart,WA,King County,98025,US,Other,20 minutes,Last night around midnight I saw 3 or 4 ribbons of light in the sky above Issaquah South of Issaquah. The lights seemed to be long in s,47.591564,-122.056013
1/18/2021,Glendale,AZ,Maricopa County,85301,US,Disk,30-60 seconds,"On 1/18/21 at approx 23:15 hours in Glendale, AZ, I was driving home from work when I noticed a large object hovering in front of me to",33.531753,-112.177935
1/18/2021,Magee,MS,Simpson County,39111,US,Changing,10 minutes,Orange Glowing Half Oval Shaped UFO,31.87377,-89.73369
1/18/2021,Oxford Junction,IA,Jones County,52323,US,Cigar,7 minutes,"I noticed a strange light out the window of my house to see, two very bright lights. I checked the flightradar24 live website Immediat",41.98363,-90.95626
1/18/2021,Saint Johns Park,FL,Flagler County,32010,US,Light,5 seconds,Strobing white lighted object moving fast with no sound at an estimated 100 feet.,29.42303,-81.431181
1/17/2021,Ramona,OK,Washington County,74061,US,Light,15 minutes,Three brightly colored lights took up position on the horizon.,36.533445,-95.905906
1/17/2021,Springdale,AR,Washington County,72762,US,Other,10 seconds,I saw a white streak of light with what looked like a ball of white fire in the front for maybe 5 seconds. It arched upward and then fl,36.16722,-94.240112
1/17/2021,Waynesboro,VA,Waynesboro city,22980,US,Circle,3 seconds,We were driving down Interstate 64 West when I looked up and saw a bright white circle or ball shoot across the Interstate it was maybe,38.065794,-78.903445
1/17/2021,Boise,ID,Ada County,83701,US,Fireball,5 minutes,Whole back yard lit up orange fiery sphere no more than 30 feet over head went north west to east really quick then just disappeared,43.603768,-116.272921
1/17/2021,Lathrop,CA,San Joaquin County,95330,US,Other,4 minutes,UFO slow moving long snake shape in purple gray color seen in Lathrop sky at 7:27pm 01/17/2021,37.811976,-121.287362
1/17/2021,New York,NY,New York County,10001,US,Cigar,6 seconds,UFO over Manhattan,40.750422,-73.996328
1/17/2021,Seattle,WA,King County,98060,US,Circle,4 minutes,Blue/Green orb stationary then flies away.,47.432251,-121.803388
1/17/2021,Jonesville,MI,Hillsdale County,49250,US,Flash,20 seconds,Strange flashing lights across the sky,41.98421,-84.6619
1/17/2021,Frisco,TX,Collin County,75034,US,Circle,20 minutes,"There was one black dot ( circle ) in the sky, far away and really high up. It did not move at all, and there was something sticking ou",33.146336,-96.856347
1/17/2021,Orange,CA,Orange County,92856,US,Other,10-13 minutes,like standing under the hull of an aircraft carrier that is broadside to you,33.640302,-117.769442
1/17/2021,Edmonds,WA,Snohomish County,98020,US,Light,4 minutes,Bight ball over apartments landed in wooded area,47.806068,-122.372401
1/16/2021,Orange,VA,Orange County,22960,US,Circle,5 minutes,"Looked like the full moon, but was not.",38.219183,-78.046093
1/16/2021,Las Vegas,NV,Clark County,89101,US,Cylinder,15 minutes,Was real close and silent,36.17372,-115.10647
1/16/2021,Westminster,MD,Carroll County,21157,US,Sphere,30 seconds,Noticed a white light expanding and contracting approximately 300 yards from my window. It approached my direction at around 500 feet a,39.564201,-76.980701
1/16/2021,Clearlake,CA,Lake County,95422,US,Light,3 minutes,The object was a very bright light like a close planet then went very dim and then bright again it was just hovering then flew across t,38.95823,-122.62637
